1176172455934611457	72760085	[CLS] if you haven ’ t been to the in a while , if you visit now you might notice some new things . for example , the renovated outdoor airplane park and children ’ s playground area they recently just opened . [unk] 	1
1176284990696345600	15245547	[CLS] i get tons of holidays because im at a jewish organization which helps greatly with my travel schedule i can ’ t imagine going back to a world with normal usa time off again 	1
1176284953773928448	14141281	[CLS] i was so focused on the lion hunt for years that i never saw this . . . until my last visit . now i want to know more , but can t find enough info about what exactly is being depicted . but i suspect stealth ##y underwater swimming to get behind enemy lines . 	2
1176280934087188481	21394805	[CLS] ma ’ am come visit la again please thank you . 	0
1176280512521879552	14141281	[CLS] it s like a byzantine empress decided to pay us all a visit . 	0
1176279250430648320	14493902	[CLS] i don ’ t think i ’ ve ever been to highland park . unless we had pizza there . that ’ s the only time i travel . 	2
1176276488984784896	1933268648	[CLS] friendly reminder to join visit [unk] 	0
1176275675147227137	743634145	[CLS] bu ##rba ##nk falls to thousand oaks 16 11 . overall record is now 4 6 and up next the bulldogs travel to ale ##man ##y this wednesday at 4 00 for another non league contest . 	1
1176274608342949888	106525514	[CLS] big thanks to the transfer center for hosting this amazing event and thanks to all the universities that came out if you missed the transfer fair , please visit our transfer center tagged located at ss ##25 ##0 to learn … 	1
1176272199361024001	1282603280	[CLS] the construction worker tax de ##duction check ##list ##uni ##form and gear . . . . professional development . work related expenses to improve your skills or further your career qualify as a tax de ##duction . . . . business travel . . . . driving expenses . . . . tools and equipment 	1
1176269266187718656	2308066316	[CLS] that picture was in maui , a place where your unemployed ass can ’ t travel [unk] 	1
1176265177643139076	131275370	[CLS] this week is all about being prepared as a community . check your local areas to see if there is ce ##rt community emergency response teams class you or a teen can take to in case of an emergency . visit for more tips on how to prepare 	0
1176260567238995968	79858595	[CLS] is it the fall it ’ s time for me to visit the past . . . 	1
1176259855981498369	231632750	[CLS] i have met some ra ##d in the dining car , this makes me sad . the end of an american tradition the amtrak dining car 	2
1176256531320328193	549067031	[CLS] never got a chance to visit but i m thankful to my friends who went thoughtful bought me something back from the cafe [unk] 	2
