615358607	2020-02-17T23:39:27.000Z	1229550961594707969	I hate when I go out in public and the public be out there...	{'place_id': '4a4c49cb161a4eb9'}
36191731	2020-02-17T23:20:30.000Z	1229546190989033472	 True lmao we’ll see. U kno I won’t go out my way	{'place_id': '002e24c6736f069d'}
19622998	2020-02-17T22:32:29.000Z	1229534105718738947	Sometimes the song you think is going to work doesn’t get the public response you anticipate. Sometimes the song you may not even like is the one everybody loves. Don’t be afraid to take risks. You’re not always right.	{'place_id': '00c39537733fa112'}
1190678006236418048	2020-02-17T22:26:36.000Z	1229532628791046146	well they sure as hell ain’t going to school if his youtube views are so damn high 	{'place_id': '00c39537733fa112'}
2734071317	2020-02-17T21:50:00.000Z	1229523416962695170	Got 0  packages going out tomorrow! Um yes thank you.	{'place_id': 'dc4ad595a56393ac'}
2867717244	2020-02-17T21:15:23.000Z	1229514705657573378	     Went to college with him he absolutely can dunk	{'place_id': '01a9a39529b27f36'}
369748047	2020-02-17T20:31:27.000Z	1229503650076209152	 Oh, well then, you hit it right on the head. It IS my house every night - at the dinner table, where manners go out the window and whomever shouts the loudest gets heard. Also, this reaction is for pizza night.	{'place_id': 'e4faa50d904ab815'}
1001156065919229952	2020-02-17T20:00:17.000Z	1229495803196198912	Black Boy: *Wears locks to school*Society: SUSPENDED!!!! NO GRADUATION FOR YOU THUG!!!!Black Boy: *Wears a dress*Society: 😍🎉🙌🏿 	{'place_id': '011add077f4d2da3'}
1227039112680611840	2020-02-17T19:49:59.000Z	1229493213897134080	I am going out there Rose the psychic reader feeling some beautiful energy out here happy Monday beautiful weather outside anybody interested in having Reading talk today or get in free question to them	{'place_id': 'b74cebcb62a1a686'}
38209183	2020-02-17T19:43:40.000Z	1229491625312780288	Irdk if going to work is worthy but papunta na ako. So wala nang atrasan lol	{'place_id': '00c39537733fa112'}
906940187439181827	2020-02-17T19:38:08.000Z	1229490231369510919	 Tbh yeahI was NOT in a good place. I needed that time, even if it meant going back to college later in my years. I got shit for it, but those people didn’t understand my circumstances. I wouldn’t sweat it too much if I were you. You seem pretty capable of passing! :)	{'place_id': 'b87b05856ab8dbd8'}
928021057583411200	2020-02-17T18:23:35.000Z	1229471469392011264	I wanna go out to eat lunch...where are my friendddddsss	{'place_id': '002e24c6736f069d'}
