2020-03-27T23:15:21.000Z	1243678020508024834	 0.See my Mom in person.0. Get back to the gym.Missing my Zumba!0. Going back to “ puff, puff, pass... 	{'place_id': 'bceb8153865c4a49'}
2020-03-27T22:25:48.000Z	1243665552557694982	 Well that DEFINITELY makes sense! And I will admit the wedding scene made the frog in my throat do some things... I may tune in for the next one. So MUCH happens so FAST!	{'place_id': '002e24c6736f069d'}
2020-03-27T22:22:35.000Z	1243664741899350016	Here’s a fun video from my wedding exactly two weeks ago today. Hard to believe how much has changed since. 	{'place_id': 'bceb8153865c4a49'}
2020-03-27T21:21:22.000Z	1243649337189695488	I’m two songs in and I have already decided the Sondheim Disco Album WILL play at my wedding. Be there you GAYS (if you’re invited hehehe)	{'place_id': '01a9a39529b27f36'}
2020-03-27T20:47:27.000Z	1243640801286074368	  what a glorious day on hubby & I 0nd wedding anniversary, we took a walk, ordered in food & bought bottle of champagne! Making best of bad situation! ❤️✌🏼	{'place_id': '00c55f041e27dc51'}
2020-03-27T20:10:55.000Z	1243631609758261251	This a really bad time to want to go on a date.	{'place_id': '858cec499f8adba6'}
2020-03-27T20:04:39.000Z	1243630028971298821	We got together for our first ever virtual meetup last night with 0+  faces showing love, with some dialing in from Prague and Argentina! We heard from Elena and Gabriel on their approaches to privacy when… 	{'coordinates': {'type': 'Point', 'coordinates': [-73.95, 40.65]}, 'place_id': '011add077f4d2da3'}
2020-03-27T19:47:55.000Z	1243625820050067456	Devante  will never ever pay for a drink in DC again. Our clutch AF hero & national treasure. 	{'place_id': '011add077f4d2da3'}
2020-03-27T18:23:25.000Z	1243604555981611012	0 things ab me0. 0. she/her/hers0. straight0. No0. ^0. Too many0. dead poet society, the wedding date, lovely bones, etc0. Singing/drawing0. just the ones I like0. Seojun from true beauty0. Moon- BTS0. Irls0. I don’t use itcomment an emoji for the questions	{'place_id': 'b046074b1030a44d'}
2020-03-27T18:22:02.000Z	1243604207971840008	went to the gym for 0 month and wasnt fuccin around 	{'place_id': '00c39537733fa112'}
2020-03-27T17:42:02.000Z	1243594138257428480	 This is why nobody be tryna go to church now	{'place_id': '011add077f4d2da3'}
2020-03-27T17:25:50.000Z	1243590063130398723	Four of my favorite photos for Betsy and Brian's fourth wedding anniversary! Hope you're both safe and healthy! 🥂 @ Soho Grand Hotel 	{'coordinates': {'type': 'Point', 'coordinates': [-74.00453434, 40.72206105]}, 'place_id': '01a9a39529b27f36'}
2020-03-27T15:37:45.000Z	1243562863047905282	I really used to be drunk and messy every weekend, now I can barely take a shot and can’t remember the last time I went to a party, can I not adult anymore?	{'place_id': '00c39537733fa112'}
2020-03-27T14:56:43.000Z	1243552535631314945	Anybody who goes to church on Easter or anywhere right away after trump opens back up around Easter is stupid 🤷🏾‍♀️😭	{'place_id': 'b74cebcb62a1a686'}
2020-03-27T14:45:07.000Z	1243549616353705986	Wahhh our friends Hawaiian wedding is being moved to next year 💔(Honestly for the better, but dang)	{'place_id': '00c39537733fa112'}
2020-03-27T14:36:34.000Z	1243547467007905793	So my hours get cut, i cant see my friends on the extra day off, cant go to the gym on my extra day off, can practically do nothing..... this is fantastic... just dandy.... im great honestly	{'place_id': '00c39537733fa112'}
2020-03-27T13:58:04.000Z	1243537778522161154	Never in my life would I have thought I’d actually miss going to the gym 😪	{'place_id': '002e24c6736f069d'}
2020-03-27T13:17:26.000Z	1243527551823331329	 Thank you, Denny. Your experience with virtual workshops etc is really interesting. We will get the meetup organizers together and hope you can share. cc:  	{'place_id': '01a9a39529b27f36'}
2020-03-27T13:15:18.000Z	1243527015304749058	Beautiful Wedding,Once in a while,Right in the middle of an ordinary life,Love gives us a fairy tale.    	{'place_id': '011add077f4d2da3'}
2020-03-27T13:05:44.000Z	1243524606247555073	  this is why im in the wedding and youre not	{'place_id': '011add077f4d2da3'}
2020-03-27T13:02:14.000Z	1243523725066027008	When did you 0st know he or she was the one for you?From  0  & all points between, I want 0 be your  Check out  today.       	{'place_id': '27485069891a7938'}
2020-03-27T13:02:14.000Z	1243523725065990144	When did you 0st know he or she was the one for you?From  0  & all points between, I want 0 be your  Check out  today.       	{'place_id': '27485069891a7938'}
2020-03-27T12:21:08.000Z	1243513383716077573	I’m a little late to the party. My bad...Earth, Wind & Fire. Maybe I’ll play some of that today. 	{'place_id': '002e24c6736f069d'}
2020-03-27T11:59:32.000Z	1243507947197673473	    But he drives to the gym so you’ll have to get the dog close to the back right passenger seat door to do its business, Brooklyn Style-No-Bags-on-Me-Sorry🤷🏻‍♀️🤷🏾🤷🏼‍♂️; since he’s driven & not the driver.	{'place_id': '011add077f4d2da3'}
2020-03-27T11:50:14.000Z	1243505605027008512	Keeping socially-distant from a social distance wedding. @ Silver Lake Park 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0887597, 40.6302297]}, 'place_id': '00c55f041e27dc51'}
2020-03-27T11:24:27.000Z	1243499117965455362	 God I can’t wait to go to a bar or see a band again.	{'place_id': '01a9a39529b27f36'}
2020-03-27T10:51:09.000Z	1243490738601689090	My sister in law’s wedding day. My in-laws. 	{'place_id': '01a9a39529b27f36'}
2020-03-27T07:07:07.000Z	1243434357806845952	No I didn’t go to the gym for this ass 🥴 	{'place_id': '00c39537733fa112'}
2020-03-27T06:43:37.000Z	1243428444894941190	My homegirls dog was deadass eating out a teddy bear lmfao. The net is the funniest yet scariest place 	{'place_id': '011add077f4d2da3'}
2020-03-27T06:26:38.000Z	1243424171972952065	So are Joe’s husbands allowed to be attractived to each other? I see they only kissed Joe at the wedding and not each other  	{'place_id': '01a9a39529b27f36'}
2020-03-28T23:49:38.000Z	1244049038355423232	"Every weekend we spend it as a family and often eat out. Tonight we ate ""out"" by supporting one of our local favs and getting egp_oceanside in. 🙏🏼🤘🏼 We had to get The Twist of course!  @… "	{'place_id': '39411d80c106aa80', 'coordinates': {'type': 'Point', 'coordinates': [-73.6374, 40.6363]}}
2020-03-28T23:35:34.000Z	1244045496353787912	I like home workouts more than going to the gym lol	{'place_id': '011add077f4d2da3'}
2020-03-28T23:34:55.000Z	1244045335917363206	Going strong for the second night in a row 💪🏼❤️and when your husband is in a band you bring the snare drum to the party! 👏🏼🗣🥁     @ Upper East Side 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-73.96555556, 40.76916667]}}
2020-03-28T23:26:51.000Z	1244043302699241475	 Maybe some of these people should step foot in a healthcare facility and then decide if they want to have a party	{'place_id': '01476f41278c3cd7'}
2020-03-28T22:54:06.000Z	1244035062842130432	Not that my deadlift numbers were crazy before quarantine but they’re gonna be horrible when I eventually go back to the gym. 😞	{'place_id': 'b046074b1030a44d'}
2020-03-28T22:38:24.000Z	1244031110532792321	This country needs the financial output of a sector of this city but has never really cared if new yorkers lived or died.The dumb thing is, it's gonna be a lot worse in the places where they go back to church soon. Blame us all you want if it makes you feel superior, I guess.	{'place_id': '00c39537733fa112'}
2020-03-28T22:23:24.000Z	1244027334480576513	That was fun if any of ya run it i wanna see too, add me to the party lmao.	{'place_id': '002e24c6736f069d'}
2020-03-28T22:06:54.000Z	1244023184996864000	  Would have loved to see *that* wedding photo😂😂	{'place_id': '00c39537733fa112'}
2020-03-28T22:05:28.000Z	1244022823355584512	Quarantine day 0. do not attempt to yoga half drunk. I repeat do not attempt to do slow flow yoga half drunk	{'place_id': '1e11d8be00564690'}
2020-03-28T21:33:27.000Z	1244014767012003841	Alright NYC... let's meetup.   Horned as fuck.  This holes hungry 	{'place_id': '01a9a39529b27f36'}
2020-03-28T21:24:24.000Z	1244012489894920192	Be careful with sharing your gym journey on social media. You may be pressured to produced results in 0-0 months which isn’t feasible for some. Most people don’t even know I workout/go to the gym. My body goals are way too personal to be on the internets time	{'place_id': '011add077f4d2da3'}
2020-03-28T21:05:59.000Z	1244007852131471360	She said she knew about the game cause her father was heavyThen she asked could she borrow the ChevyI could zoom in the jagShe going shopping need room for the bags	{'place_id': 'b87b05856ab8dbd8'}
2020-03-28T20:39:49.000Z	1244001268470857728	Time to head to the gym! @ Brooklyn, New York 	{'place_id': '011add077f4d2da3', 'coordinates': {'type': 'Point', 'coordinates': [-73.95, 40.65]}}
2020-03-28T20:29:38.000Z	1243998707189760001	All you AC thots who have the clothing boutiques and Nook Crannys hmu I wanna go shopping 😍 lmao	{'place_id': '01a9a39529b27f36'}
2020-03-28T20:15:25.000Z	1243995126277472256	 It spreads more ways than just going out lol. Might as well tell people not to go to the grocery store since that’s the only thing open and let’s say I have it and now I go shopping. Now everyone gets it 🤷🏻‍♂️	{'place_id': '5ed322907c4a363c'}
2020-03-28T19:32:29.000Z	1243984321926647808	I got: Rihannaya damn right Rihanna is my soulmate🤣 	{'place_id': 'f97108ab3c4a42ed'}
2020-03-28T19:11:01.000Z	1243978920141225986	Throwback, to the first client I ever prepped for a wedding. I believe she lost 0lbs if my memory is correct. The mission accomplished 😁.If ou look close at the photo, you can see her sticking her tongue out, we… 	{'place_id': '00c39537733fa112', 'coordinates': {'type': 'Point', 'coordinates': [-73.74446, 40.72235]}}
