2020-09-28T23:54:01.000Z	1310729506156687360	how do you plan a wedding ? cause i’m going to need help 😅	{'place_id': 'c418b0c82daabc44'}
2020-09-28T23:03:46.000Z	1310716861617713153	 Welcome. Let me know if I can treat you for a drink while you here	{'place_id': '01a9a39529b27f36'}
2020-09-28T22:15:17.000Z	1310704661050032128	Lol. I kinda can relate with these Bridezilla stories. Lesson: You will discover the true person’s character and friendship months before the wedding date.	{'place_id': 'e4faa50d904ab815'}
2020-09-28T22:04:37.000Z	1310701976913694728	My future husband is 0 today!Im- It feels like yesterday I was planning his 0th birthday party trying to impress my new man 😭Now we’re planning our wedding! 🤯I’m so grateful and honored to have him in my life.  I love you!! Happy Birthday  ✨💖🥳 	{'place_id': '011add077f4d2da3'}
2020-09-28T21:36:46.000Z	1310694967300501507	Your a TURNCOAT a filthy TRAITOR to the party you might as well become a DEMOCRAT 	{'place_id': '86fc60f26e1639cc'}
2020-09-28T21:26:58.000Z	1310692501309796358	Why did people go to the gym before the invention of yoga pants?	{'place_id': 'a64b09ad02cb5c61'}
2020-09-28T21:15:48.000Z	1310689693030395905	 Guess I’m a weirdo because I eat out alone all the time and I have zero drama in my life 	{'place_id': 'e993aa6b2023e210'}
2020-09-28T21:04:10.000Z	1310686763346808833	I got to go back to the gym 😩	{'place_id': '00c39537733fa112'}
2020-09-28T20:40:39.000Z	1310680845284409345	Niggas go to the gym and post pictures of they treadmill stats...Nigga go lift sum fuckin weights like a real nigga!!! 😂😂😂	{'place_id': 'fa3435044b52ecc7'}
2020-09-28T19:59:33.000Z	1310670503372304385	Let go for a drink	{'place_id': '1935ab8020a2553b'}
2020-09-28T19:45:06.000Z	1310666863827996673	Forgot to take out food to cook for dinner 😭 guess we eating out tonight 🙄	{'place_id': 'fa3435044b52ecc7'}
2020-09-28T19:43:11.000Z	1310666382707765255	The most I’ll spend on a date is 0  idc	{'place_id': '1935ab8020a2553b'}
2020-09-28T19:07:33.000Z	1310657414195294209	DJ Ocross’s Events is proud to provide professional, high quality sound for your next event!Whether you’re planning your wedding, school dance, class reunion, or corporate party, we can help make your event unforgettable! FOR ALL  BOOKINGS EMAIL 📧 Bookdjocross	{'place_id': '002e24c6736f069d'}
2020-09-28T18:42:35.000Z	1310651133426388994	Turned down going on a date with a girl because Friday nights are raid nights LMAOOO 	{'place_id': 'cbafaaf6455dea32'}
2020-09-28T18:06:56.000Z	1310642163269722115	Dogs wedding outfits all fit ✅ Now to get groomed 	{'place_id': 'c5e2e95296cb121d'}
2020-09-28T17:40:49.000Z	1310635589469982720	When you are too lazy to go to the gym but you are the life and said you was going 0 days this week...I ain’t no pansy get you ass up Dakari	{'place_id': '011add077f4d2da3'}
2020-09-28T17:12:28.000Z	1310628453700468736	So many wedding bangers on here! 	{'place_id': '27485069891a7938'}
2020-09-28T16:39:12.000Z	1310620083002257410	Just tested my decorating abilities for the wedding and it’s a hot mess. Love is all that matters right 😂 	{'place_id': '01a9a39529b27f36'}
2020-09-28T16:13:42.000Z	1310613664911765507	 October first brings me back to the gym lol	{'place_id': '002e24c6736f069d'}
2020-09-28T16:05:11.000Z	1310611521769275398	“But what if I go to a party with a Miami Vice theme?”-Me trying to justify keeping clothing I don’t need.	{'place_id': '011add077f4d2da3'}
2020-09-28T15:48:11.000Z	1310607243751161859	Let's Go Shopping: Neutral Sweater Dresses  	{'coordinates': {'type': 'Point', 'coordinates': [-74.0007613, 40.7207559]}, 'place_id': '01a9a39529b27f36'}
2020-09-28T15:46:09.000Z	1310606732670853121	Happy 0th anniversary Brian and Nicole!        @ Delta Hotels by Marriott Woodbridge 	{'coordinates': {'type': 'Point', 'coordinates': [-74.31135424, 40.55737239]}, 'place_id': '812a6cfdd31b4a5f'}
2020-09-28T15:29:01.000Z	1310602419647262721	I miss going to the movies ☹️	{'place_id': '002e24c6736f069d'}
2020-09-28T14:51:05.000Z	1310592874002644992	  @ Del Frisco's Double Eagle Steakhouse 	{'coordinates': {'type': 'Point', 'coordinates': [-73.98222, 40.7594099]}, 'place_id': '01a9a39529b27f36'}
2020-09-28T14:49:33.000Z	1310592487237603332	Does anyone know if when you go live on OnlyFans if you can later save the video permanently? We want to share our wedding ceremony with our fans who support us so they can get to know us better. Any input is appreciated ☺️	{'place_id': '01a9a39529b27f36'}
2020-09-28T14:23:20.000Z	1310585892491481088	  and my wedding song	{'place_id': '01a9a39529b27f36'}
2020-09-28T13:53:50.000Z	1310578465213763585	Told my bro i went on a date he gon say chasing that bag ouuuu. Lmfaoooo they know I’m always inna 0 star steakhouse wit somebody husband Thats badddd🤣😭😆😭🤣	{'place_id': 'fa3435044b52ecc7'}
2020-09-28T13:50:56.000Z	1310577737279721472	Let’s just go on a date 	{'place_id': '00c39537733fa112'}
2020-09-28T13:23:55.000Z	1310570936530358272	Meet Stanley J. Rosenschein - one of our cool webinar panelists for “Tech Disrupts Education” webinar this Wednesday September 0th at 0pm:active in intelligent systems research, as Director of the Artificial Intelligence Center at SRI.RSVP here:	{'place_id': '2c3a8226d682d4f3'}
2020-09-28T12:16:31.000Z	1310553976727916544	  This was his sisters Alkas first wedding . And entire industry showed up . Because  ,   and   all 0 personally gave the invitation. This was the unity and freindship in 0s . Which is missed this days !	{'place_id': '7c09539af94ab80b'}
2020-09-28T11:26:51.000Z	1310541475495714816	Spending my first day post-quarantine by going to the gym for the first time in six months because I can't do anything fun lol	{'place_id': '00c39537733fa112'}
2020-09-28T09:34:27.000Z	1310513192150487040	Put yah thumb in my butt🎯😩😩     	{'place_id': '01a9a39529b27f36'}
2020-09-28T09:28:21.000Z	1310511657412632576	Who wants a   HMU for rates be  ready🗣🗣 	{'place_id': '01a9a39529b27f36'}
2020-09-28T08:47:36.000Z	1310501400271618048	 absolutely adore this album. used songbird as my wedding song	{'place_id': '0ae73f36fd07fca0'}
2020-09-28T07:02:23.000Z	1310474923320766464	So today I ran and then went to the gym, no problem. I walk out and don’t see a huge hole as a piece of the sidewalk is essentially missing and roll my ankle. Feels appropriate for   	{'place_id': '01a9a39529b27f36'}
2020-09-28T06:17:37.000Z	1310463656409411584	anybody been to the movies yet?	{'place_id': 'fa3435044b52ecc7'}
2020-09-28T05:32:08.000Z	1310452209511997440	Take him to the mall 	{'place_id': '01a9a39529b27f36'}
