1290422731498954752	269110631	Flower girls!          @ Stan Mansion 	0
1290378819401064448	1283766950	SF restaurant that hosted   party speaks out My question: Why are ANY  not complying with orders? 0 people with  = unnecessary. via 	0
1290354366122266625	132352072	Just got off work .... time to head to the gym 🏋🏽‍♂️	0
1290353871546724352	47767817	When I can wear a shirt with no bra 🥺 I need someone to take me on a date 😂😂😂 or save it to take pics for the gram	0
1290338836984274945	486428420	Love her ... welcome to the party 	0
1290328202783657986	319978898	i want to go on a date	2
1290321595400163328	19737940	It’s so Chicago to never show up to a party empty handed😍  and the  are really handling grown folx business in the  and you love to see it 💙💎💛 	0
1290318005277274125	218294727	gotta get to the gym today	0
1290313366926430208	933159951911944193	Soo who wants an invite to my wedding because I know for sure it’s gonna happen and I have a clear picture of who it is with 👀	0
1290313249255297024	2990412197	"""The secret of a happy marriage is finding the right person. You know they’re right if you love to be with them all the time."" Julia Child While I was on the dance floor for another wedding, my 0nd planner was… "	2
1290300959042617346	45777919	 Seriously. I keep trying to go on a date with a nice older woman, only to show up and find a young woman who doesn't even have the basic decency to face me!	2
1290281818801897473	323002038	Started my day getting a speeding ticket while I was headed to the gym. Nice way to start the week 😭	2
1290274828188971008	1132881972	🔻WATCH🔻I absolutely Despise nasty people like this! So glad you called her out!She probably calls herself a Christian too? Just because you go to Church on Sunday doesn’t make you a Christian the other 0 days a week. You can’t treat people like that!   	2
1290263630458564614	3245664593	A college acquaintance just had a full in-person wedding this last weekend and shamelessly posted photos of large groups of people hanging out without masks. I'm blown away. How could you enjoy yourself? I'd be too nervous my event could cause an outbreak. 	2
1290238573044670464	1270340190	We'll just postpone our wedding to October and everything will be fine 😞 	0
1290152612692520961	34610758	I went to a restaurant today and got mad when the waitress screwed up my order. But she told me that the waitress who worked there 0 yrs ago was an awful waitress. So I immediately understood  and wasn’t mad at her any more for screwing up my order.	0
1290137362031247360	3058111143	I love wedding planning so much.	0
1290136885470179328	784111323277852672	Watching Moesha just confirmed exactly what I said yesterday lol Dating was so much easier as a teen lol Maybe because we had a lack in responsibilites? Like going to the movies were super easy to plan	2
1290120595187757056	186955508	The closest thing I’ll get to a concert these days is watching all of my old shitty concert videos that I absolutely haven’t cherished until now	2
1290094179264020481	2827211946	On a date, kinda nervous	2
1290088378851966977	3058111143	A girl drove an hour and a half just to go on a date with me who had previously only met me once. The answer is yes. 	0
1290080826378448896	827050596591083520	our wedding gon be MAJOR but... small. we dont like yall 😂😂😂 	0
1290789289366888453	1373129683	I def. want to take  on a date. That’s the tweet!	0
1290779003599695872	37805557	I haven’t went to the movies and spent over $0 individually in years 🤧 	0
1290752184779444225	33643638	I hate being the center of attention, I don’t know how I’m going to handle that in my wedding day Lol	2
1290744954659250176	227175570	 Everytime I ask a dude if we can go on a date and get to know each other, they disappear. 😂 I thought I was ugly for longest time.	0
1290741243039887362	1271745008	  You take  on a date	0
1290738732610592775	3159888878	getting married next month. going to have the for real wedding ceremony as soon as you people start wearing your fucking masks!!!	2
1290736930863419394	22812100	This summer ➡️ last summer. ♥️ Welcome to the world, little Charlie! ☺️.Wedding vendors:  at clementinechicagoexqdesignsuniversityclubofchicago @ University Club of Chicago 	0
1290725306538643456	147399021	I ordered my groceries for pick up and it gave me an estimated time of 0-0 so I went to the gym, across the street from the store, walked in the door and got the notification that my groceries are ready to be picked up	0
1290719743054434304	354585307	 rap in my wedding in 0 before you become Pro Basketball Player 😰😭 	0
1290702142194487306	268047599	I went dutch on a date once i was 0 and broke... whats wrong with you dudes lol..	2
1290697857926930434	312439567	If $0 putting a dent in your pocket...taking someone on a date should not be a priority g. 	0
1290697660475879425	619488141	Damn, at the rate this country is handling this pandemic I’ll never be able to get a haircut. 🤣🤣🤣(For legal reasons this is a joke - wearing a friggin mask y’all)	2
1290692890092539904	32814873	I know places being closed is good right now, but I really miss going to the museum 😢	2
1290680761805406213	503520640	I don’t even know what I would have done. This is fucking awful. 	2
1290675628774248449	23141199	This nigga said he old school and dont know what going Dutch on a date mean... LOL MAN MY MOMMA TOLD MENTHAT WHEN I WAS LIKE 0! 	0
1290664698665414658	108159542	Light pink and Gold ruffle wedding cake with Gold edible glitter risersModeling chcolate,  fondant and cream rufflesServings 0 All Red Velvet For a quote - E mail your guest count to lovecake… 	0
1290663469835059204	108159542	Light pink and Gold ruffle wedding cake with Gold edible glitter risersModeling chcolate,  fondant and cream rufflesServings 0 All Red Velvet For a quote - E mail your guest count to… 	0
1290663159427215365	108159542	Light pink and Gold ruffle wedding cake with Gold edible glitter risersModeling chcolate,  fondant and cream rufflesServings 0 All Red Velvet For a quote - E mail your guest count to… 	0
1290658635102683136	14673926	 I would loan out Foyth to a club where he’s guaranteed of playing most of the season. He has a high ceiling & it would make sense that Jose would want to see how he performs for an entire season before selling off a prospect like Foyth.	2
1290658509655351302	108159542	Light pink and Gold ruffle wedding cake with Gold edible glitter risersModeling chcolate,  fondant and cream rufflesServings 0 All Red Velvet For a quote - E mail your guest count to lovecake… 	0
1290656526126985220	30757786	 Honestly tho, u think if u invite rihanna to ur wedding, and its still YOUR day??	2
1290656141744189444	108159542	Light pink and Gold ruffle wedding cake with Gold edible glitter risersModeling chcolate,  fondant and cream rufflesServings 0 All Red Velvet For a quote - E mail your guest count to lovecake… 	0
1291159982596075520	360188566	 My man! I love it. You and your kids are impressive with the walking.I pretty much got the green light to head back to the gym. It's about time to get bizzy again!	0
1291156062071140355	1350403032	She was super excited to find out that we have exactly what she was looking for 😉😉😉😉 ah hah ...  ..Gooooooo ⚾️⚾️⚾️CUBS⚾️⚾️⚾️.. ..She told us ..  was also her wedding theme 😱😱😱 .. DIE HARD FANS RIGHT… 	0
1291154108594950153	1968094422	This is simultaneously why I love and hate these 0 they actually went to the gym like this. Never stop being y'all  and  	0
1291151430087303168	15909700	  Rey is in Munich to see Oktoberfest for the first time. Ben is a tour guide who is jaded, bored of teaching visitors the history of the fest. When they both enter a mysterious beer tent on the same night they’re swept back in time to the original Oktoberfest wedding celebration.	0
1291150633614090240	106010466	Hey   why  don't  you go to church  or come to Chicago  find me we can talk! I am single! I know  how to treat  women!  Give  me q chance! I heard  you bashing men ! Come  talk to me! I challenge  you! Not threat  just a talk!	2
1291147511206469633	263457439	If I go shopping and you with me we both leaving with bags.	2
1291133424888164354	3301158974	  can y'all go on a date 	2
1291131682637189120	265090480	I’m about to go to the gym. Can anybody send me a back and/or leg workout real quick	0
1291130455824113664	757779872	Lazy and all still came to the gym and had a good workout . Feeling much better 💪🏼	0
1291122494435360776	97613792	shootin with yo eyes closed fuck you doin meditating? boy if you scared go to church, read revelation	2
1291107799687143426	29591774	See this is frustrating. More concerned about the wedding vs the actual marriage. 	2
